title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
LADY MACBETH,"In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.",2016,89,539173,5824638,SixtySix Pictures,R,2017-07-14,['William Oldroyd'],"['Florence Pugh', 'Cosmo Jarvis', 'Paul Hilton', 'Naomi Ackie']","['Drama', 'Romance']",0,False,True
KINGSMAN THE GOLDEN CIRCLE,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.",2017,141,109808844,433853332,Twentieth Century Fox,R,2017-09-22,['Matthew Vaughn'],"['Taron Egerton', 'Colin Firth', 'Mark Strong', 'Channing Tatum']","['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",1,False,True
A DECENT WOMAN,"A housemaid, working in an exclusive gated community in the outskirts of Buenos Aires, embarks on a journey of sexual and mental liberation in a nudist swinger-club boarding the high security walls.",2016,104,269586,1553,Jeonju Cinema Project,Unrated,2017-09-01,['Lukas Valenta Rinner'],"['Iride Mockert', 'Andrea Strenitz', 'Martín Shanly', 'Mariano Sayavedra']",['Drama'],0,False,False
UNCUT GEMS,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",2019,135,19234399,50640915,A24,R,2019-12-25,"['Benny Safdie', 'Josh Safdie']","['Adam Sandler', 'Julia Fox', 'Idina Menzel', 'Mesfin Lamengo']","['Crime', 'Drama', 'Thriller']",0,True,True
FEEDBACK,A radio star experiences the worst night of his life when stalkers assault the radio station where he's working.,2019,97,4049347,224713,Ombra Films,TV-14,2019-03-01,['Pedro C. Alonso'],"['Eddie Marsan', 'Paul Anderson', 'Ivana Baquero', 'Richard Brake']","['Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller']",0,False,False
EIGA DORAEMON NOBITA NO GETSUMEN TANSAKI,"Nobita saw a moon turned yellow last night and told his class about it but they think it's funny. Doraemon gives him the ""History Explorers Club Badge"" and discovers there's life on the moon. Until a new student changed him forever.",2019,111,1214804,66213516,AsatsuDK,,2019-05-24,"['Jeong-beom Lee', 'Shinnosuke Yakuwa']","['Wasabi Mizuta', 'Sang Hyun Uhm', 'Jung-jae Lee', 'Megumi Ohara']","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0,False,True
MYSTERY TRAIN,Three stories are connected by a Memphis hotel and the spirit of Elvis Presley.,1989,110,5844119,3224645,JVC Entertainment Networks,R,1989-11-17,['Jim Jarmusch'],"['Masatoshi Nagase', 'Yûki Kudô', ""Screamin' Jay Hawkins"", 'Cinqué Lee']","['Comedy', 'Crime', 'Drama']",0,False,False
DIE HARD 2,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",1990,124,138613389,475307835,Twentieth Century Fox,R,1990-07-03,['Renny Harlin'],"['Bruce Willis', 'William Atherton', 'Bonnie Bedelia', 'Reginald VelJohnson']","['Action', 'Thriller']",0,False,True
THE PRINCE OF TIDES,A troubled man talks to his suicidal sister's psychiatrist about their family history and falls in love with her in the process.,1991,132,57006828,142113460,Columbia Pictures,R,1991-12-25,['Barbra Streisand'],"['Barbra Streisand', 'Nick Nolte', 'Blythe Danner', 'Kate Nelligan']","['Drama', 'Romance']",0,True,True
CLASS ACT,A valedictorian and a juvenile delinquent have their school records switched and begin to be treated like the other.,1992,98,13835228,24483028,Warner Bros,PG-13,1992-06-05,['R. Martin Miller'],"['Christopher Reid', 'Christopher Martin', 'Andre Rosey Brown', 'Meshach Taylor']",['Comedy'],0,False,True
A PERFECT WORLD,"Kidnapped boy Phillip Perry (T.J. Lowther) strikes up a friendship with his captor Butch Haynes (Kevin Costner): an escaped convict on the run from the law, while the search is headed up by honorable Texas Ranger ""Red"" Garrett (Clint Eastwood).",1993,138,53732387,242030373,Warner Bros,PG-13,1993-11-24,['Clint Eastwood'],"['Kevin Costner', 'Clint Eastwood', 'Laura Dern', 'T.J. Lowther']","['Crime', 'Drama', 'Thriller']",2,False,True
TRUE ROMANCE,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",1993,119,23284034,23443172,Morgan Creek Entertainment,R,1993-09-10,['Tony Scott'],"['Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer']","['Crime', 'Drama', 'Romance', 'Thriller']",0,False,True
RICHIE RICH,A rich young boy finds his family targeted in an inside job and must use his cunning to save them.,1994,95,69854520,66515048,Warner Bros,PG,1994-12-21,['Donald Petrie'],"['Macaulay Culkin', 'Edward Herrmann', 'John Larroquette', 'Christine Ebersole']","['Comedy', 'Family']",0,False,False
CHUCK  BUCK,An oddly naive man-child stalks his childhood best friend and tries to reconnect with their past.,2000,96,375741,1776605,Artisan Entertainment,R,2000-08-04,['Miguel Arteta'],"['Mike White', 'Chris Weitz', 'Lupe Ontiveros', 'Beth Colt']","['Comedy', 'Drama']",0,False,True
PAY IT FORWARD,A young boy attempts to make the world a better place after his teacher gives him that chance.,2000,123,60118699,83726427,Warner Bros,PG-13,2000-10-20,['Mimi Leder'],"['Kevin Spacey', 'Haley Joel Osment', 'Helen Hunt', 'Jay Mohr']",['Drama'],1,False,True
UNDISPUTED,"When heavyweight champion George ""Iceman"" Chambers lands in prison, the resident gangster arranges a boxing match with the reigning prison champ.",2002,94,28772762,21502101,A Band Apart,R,2002-08-23,['Walter Hill'],"['Wesley Snipes', 'Ving Rhames', 'Peter Falk', 'Michael Rooker']","['Action', 'Crime', 'Drama', 'Sport']",0,False,False
THE BADGE,"Sheriff Hardwick investigates the death of Mona, a transexual woman. The judge asks that the case is archived to prevent it impacting the upcoming elections, but the evidence keeps coming in.",2002,103,8631828,139662,EmmettFurlaOasis Films EFO Films,R,2002-09-07,['Robby Henson'],"['Billy Bob Thornton', 'Patricia Arquette', 'William Devane', 'Sela Ward']","['Crime', 'Drama', 'Mystery', 'Thriller']",0,False,False
BEFORE SUNSET,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2004,80,3699257,21834533,Warner Independent Pictures WIP,R,2004-07-30,['Richard Linklater'],"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']","['Drama', 'Romance']",0,False,True
THE GOLDEN COMPASS,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",2007,113,224681830,464635613,New Line Cinema,PG-13,2007-12-07,['Chris Weitz'],"['Nicole Kidman', 'Daniel Craig', 'Dakota Blue Richards', 'Ben Walker']","['Adventure', 'Family', 'Fantasy']",0,False,True
THE LEGEND OF ZORRO,"Despite trying to keep his swashbuckling to a minimum, a threat to California's pending statehood causes the adventure-loving Don Alejandro de la Vega and his wife, Elena, to take action.",2005,129,99389784,188708157,Columbia Pictures,PG,2005-10-28,['Martin Campbell'],"['Antonio Banderas', 'Catherine Zeta-Jones', 'Rufus Sewell', 'Alberto Reyes']","['Action', 'Adventure', 'Romance', 'Thriller', 'Western']",0,False,True
THE DARK,"In mourning over the tragic drowning of their daughter Sarah, James and Adèle are visited by Ebrill, a young girl who claims she died 60 years ago - and bears a startling resemblance to Sarah.",2005,93,3975591,8737791,Constantin Film,R,2006-01-26,['John Fawcett'],"['Sean Bean', 'Maria Bello', 'Sophie Stuckey', 'Abigail Stone']","['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",0,False,True
NAMING NUMBER TWO,"A matriarch organizes a feast with her family, in which she will name her successor.",2006,94,5551085,557039,Numero Films Ltd,PG,2006-02-16,['Toa Fraser'],"['Ruby Dee', 'Mia Blake', 'Rene Naufahu', 'Miriama McDowell']","['Comedy', 'Drama']",0,False,False
JOURNEY TO THE END OF THE NIGHT,The tale of a son and his father separately plotting to escape the desolation of their lives in the lurid underworld of Brazil's sex industry.,2006,88,7959465,63126,Millennium Films,R,2007-01-09,['Eric Eason'],"['Brendan Fraser', 'Yasiin Bey', 'Scott Glenn', 'Catalina Sandino Moreno']","['Crime', 'Drama', 'Thriller']",0,False,False
BEYBLADE THE MOVIE  FIERCE BATTLE,Tyson and the Bladebreakers must stop an unleashed dark shadow group called the Shadow-Bladers and save the world in the ultimate Beyblade showdown battle!,2004,74,68504764,4870666,Nelvana,,2005-03-22,"['Toshinori Fukushima', 'Itsuki Imazaki', 'Yoshio Takeuchi', 'Takuo Suzuki']","['Motoko Kumai', 'Houko Kuwashima', 'Aya Hisakawa', 'Ai Orikasa']","['Animation', 'Action', 'Adventure']",0,False,False
SAW III,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,2006,108,12837847,211663075,Twisted Pictures,R,2006-10-27,['Darren Lynn Bousman'],"['Tobin Bell', 'Shawnee Smith', 'Angus Macfadyen', 'Bahar Soomekh']","['Crime', 'Horror', 'Mystery', 'Thriller']",0,False,True
THE WALKER,"An escort who caters to Washington, D.C.'s society ladies becomes involved in a murder case.",2007,108,12482323,736976,Kintop Pictures,R,2007-08-10,['Paul Schrader'],"['Woody Harrelson', 'Kristin Scott Thomas', 'Lauren Bacall', 'Ned Beatty']","['Crime', 'Drama', 'Mystery']",0,False,False
THE WAR ON DEMOCRACY,"Venezuela, Guatemala, Cuba, Chile, Salvador, Bolivia: people's struggle for democracy versus US imperialism in Latin America since the 1950s, backing coups and supporting dictatorships.",2007,96,3120580,400601,Youngheart Entertainment,Unrated,2007-06-15,"['Chris Martin', 'John Pilger', 'Sean Crotty']","['John Pilger', 'Philip Agee', 'Salvador Allende', 'George Bush']",['Documentary'],0,False,False
TERMINATOR GENISYS,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",2015,126,169252437,481117565,Paramount Pictures,PG-13,2015-07-01,['Alan Taylor'],"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",0,False,True
BUCKY LARSON BORN TO BE A STAR,"A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.",2011,97,11505830,2911428,Columbia Pictures,R,2011-09-09,['Tom Brady'],"['Nick Swardson', 'Don Johnson', 'Christina Ricci', 'Stephen Dorff']",['Comedy'],0,False,False
INSIDIOUS,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,2010,103,1780352,118164393,FilmDistrict,PG-13,2011-04-01,['James Wan'],"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins', 'Lin Shaye']","['Horror', 'Mystery', 'Thriller']",0,False,True
CROOK ITS GOOD TO BE BAD,Corrupt police and racially motivated attacks against Indian students complicate a re-located crook's life in Australia.,2010,121,3560704,32455,Films  Casting Temple Pvt Ltd Sydney,Unrated,2010-10-08,['Mohit Suri'],"['Emraan Hashmi', 'Neha Sharma', 'Arjan Bajwa', 'Mashhoor Amrohi']","['Action', 'Drama', 'Thriller']",0,False,False
DAY OF THE SIEGE,"In the summer of 1683, 300,000 warriors of the Ottoman Empire began the siege of Vienna. The fall of the city would have opened the way to conquer Europe. On September 11. was the main battle between the Polish cavalry and the Turks.",2012,114,13527060,2416247,Martinelli Film Company International,R,2012-10-12,['Renzo Martinelli'],"['F. Murray Abraham', 'Enrico Lo Verso', 'Jerzy Skolimowski', 'Alicja Bachleda']","['Drama', 'History', 'War']",1,False,False
THE BOOK OF LIFE,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.",2014,95,54662366,109088106,Reel FX Creative Studios,PG,2014-10-17,['Jorge R. Gutiérrez'],"['Diego Luna', 'Zoe Saldana', 'Channing Tatum', 'Ron Perlman']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",0,False,True
JEALOUSY,"As a man leaves his wife and daughter, a series of brief conversations, observed gestures, chance encounters and impulsive acts, tell the story of the relationships that flounder and thrive in the wake of this decision.",2013,77,4443927,71042,SBS Productions,,2014-08-22,['Philippe Garrel'],"['Louis Garrel', 'Anna Mouglalis', 'Rebecca Convenant', 'Olga Milshtein']",['Drama'],0,False,False
OCHO APELLIDOS CATALANES,"Amaia after breaking up with Rafa, falls in love with a Catalonian. Koldo, her father, goes to Sevilla to persuade Rafa to go to Catalonia and take Amaia's heart back.",2015,99,4913780,44324332,Lazonafilms,,2015-11-20,['Emilio Martínez Lázaro'],"['Dani Rovira', 'Karra Elejalde', 'Carmen Machi', 'Clara Lago']","['Comedy', 'Romance']",0,False,True
KUBO AND THE TWO STRINGS,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,2016,101,64700862,82223407,Focus Features,PG,2016-08-19,['Travis Knight'],"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']","['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",1,False,True
YU PHAI NNG LAM CHIU,"An elegant weather reporter on TV and a foul-mouthed boozer off, Hyun-woo juggles three relationships with three men of different personalities. This is the ""love story"" of her life.",2015,118,4367804,14859967,Popcorn Films,G,2015-01-30,['Jin-pyo Park'],"['Moon Chae-Won', 'Joon-young Jung', 'Kim Kap-su', 'Seo-jin Lee']","['Comedy', 'Drama', 'Romance']",0,False,True
IDEAL HOME,A bickering gay couple must suddenly deal with the unexpected task of raising a 10-year-old boy.,2018,91,10306801,152318,Remstar Studios,Unrated,2018-07-05,['Andrew Fleming'],"['Steve Coogan', 'Paul Rudd', 'Jesse Luken', 'Evan Bittencourt']","['Comedy', 'Drama']",0,False,False
THE BRAVE,In an Albanian town known for drug production and trafficking an elite group of cops set out to end the war waged against the local police.,2019,103,2024673,2579,Hollywood Media Bridge,TV-MA,2020-01-15,['William Kaufman'],"['Armand Assante', 'Louis Mandylor', 'Igor Jijikine', 'Ravshana Kurkova']","['Action', 'Crime', 'Thriller']",0,False,False
ACTION POINT,A daredevil designs and operates his own theme park with his friends.,2018,85,19582922,5260244,Paramount Pictures,R,2018-06-01,['Tim Kirkby'],"['Johnny Knoxville', 'Eleanor Worthington-Cox', 'Chris Pontius', 'Dan Bakkedahl']",['Comedy'],0,False,False
DROP ZONE,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,1994,101,78586336,50182291,Paramount Pictures,R,1994-12-09,['John Badham'],"['Wesley Snipes', 'Gary Busey', 'Yancy Butler', 'Michael Jeter']","['Action', 'Adventure', 'Thriller']",0,False,False
DEAD PRESIDENTS,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",1995,119,16982349,41007582,Caravan Pictures,R,1995-10-06,"['Albert Hughes', 'Allen Hughes']","['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']","['Action', 'Crime', 'Drama', 'Thriller', 'War']",0,False,True
FARGO,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1996,98,11546698,99981171,PolyGram Filmed Entertainment,R,1996-04-05,"['Joel Coen', 'Ethan Coen']","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']","['Crime', 'Drama', 'Thriller']",0,False,True
SIXSTRING SAMURAI,"In the post-apocalyptic world of 1960s Nevada, a rock 'n' roll samurai on his way to Lost Vegas takes a young orphan boy under his protection as Death and his metalhead Horsemen chase after them.",1998,91,3175595,232016,HSX Films,PG-13,1998-09-18,['Lance Mungia'],"['Jeffrey Falcon', 'Justin McGuire', 'Kim De Angelo', 'Stephane Gauger']","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Music', 'Sci-Fi']",0,False,False
